site_no,long,lat,begin_date,end_date,geometry,comid,reachcode,comid-long,comid-lat
01465785,-74.9932249,40.08955515,1964-06-01,1978-10-19,POINT (-74.9932249 40.08955515),4488230,02040202001420,-74.99408265689402,40.08942128021999
01467042,-75.0690611,40.08983289,1964-08-13,2023-12-03,POINT (-75.0690611 40.08983289),4489170,02040202001385,-75.06788801958137,40.08956058056435
014670413,-75.0730556,40.11277778,2009-12-05,2015-10-12,POINT (-75.0730556 40.11277778),4489008,02040202001386,-75.07192146763786,40.1127413627439
01467031,-75.1219444,40.1772222,2010-03-10,2015-10-06,POINT (-75.1219444 40.1772222),4488964,02040202001399,-75.12155383825711,40.17735275193797
01480675,-75.74159878,40.09787927,1966-08-01,2023-12-03,POINT (-75.74159878 40.09787927),4648686,02040205000702,-75.74148220580474,40.09806580563861
01471875,-75.7421359,40.339538,1993-10-01,2023-12-03,POINT (-75.7421359 40.339538),4780921,02040203000113,-75.74235725312752,40.33930880787498
01472199,-75.5224034,40.3739879,1981-10-01,2023-12-03,POINT (-75.5224034 40.3739879),4780787,02040203000542,-75.5218574155457,40.374217259605786
01471845,-75.7290802,40.3856497,1981-10-01,1982-09-30,POINT (-75.7290802 40.3856497),4780759,02040203001139,-75.72943456622588,40.385430542578604
01472198,-75.51545918,40.39398789,1981-08-24,2023-12-03,POINT (-75.51545918 40.39398789),4780723,02040203000088,-75.5150961959189,40.393665926261086
01473870,-75.180175,40.1489982,1973-10-01,1978-09-29,POINT (-75.180175 40.1489982),4781679,02040203001367,-75.18023914850471,40.148805700954476
01472810,-75.4287873,40.2587137,1991-01-18,2023-12-03,POINT (-75.4287873 40.2587137),4781261,02040203000050,-75.43029054725012,40.25821888048175
01464741,-75.1779507,40.29677295,1985-10-01,1989-02-21,POINT (-75.1779507 40.29677295),4482703,02040201000367,-75.17876852505907,40.29669971219949
01472620,-75.2343416,40.40399276,1983-10-01,2023-12-03,POINT (-75.2343416 40.40399276),4782009,02040203000064,-75.23470216111606,40.40371292048927
01467036,-75.11211669,40.1809422,1978-10-01,2015-10-06,POINT (-75.11211669 40.1809422),4489158,02040202001403,-75.11218169167294,40.18071422820956
01464899,-75.15163889,40.2195,2020-09-22,2023-12-03,POINT (-75.15163889 40.2195),4482903,02040201000426,-75.15161970836886,40.21971871860966
