,nhru_v1_1,reachcode,comid,geometry
3083,1570,02040101000001,2617252,POINT (-75.05977032689545 41.76477560132735)
3100,1638,02040104000138,4147432,POINT (-74.61613759430001 41.78955166875509)
1829,1575,02040101000193,2617370,POINT (-75.22513572730183 41.85733400132819)
1328,1574,02040101000045,2617366,POINT (-75.22513572730183 41.85733400132819)
3082,1573,02040101000043,2617324,POINT (-75.20282512728465 41.86957560202997)
3065,1458,02040102000025,1750601,POINT (-74.79967692743087 41.872937201743625)
1521,1645,02040104000140,4147956,POINT (-74.62946992853227 41.88119966799202)
3064,1455,02040102000032,1750471,POINT (-74.82953019426334 41.90171000189548)
2434,1456,02040102000022,1750487,POINT (-74.82953019426334 41.90171000189548)
3096,1636,02040104000143,4147394,POINT (-74.57437012741714 41.91598546822175)
3099,1637,02040104000149,4147396,POINT (-74.57437012741714 41.91598546822175)
1985,1454,02040102000015,1750427,POINT (-74.92037959396353 41.93451620195589)
2491,1453,02040102000040,1750423,POINT (-74.92037959396353 41.93451620195589)
1927,1644,02040104000147,4147950,POINT (-74.50719292800574 41.93691486834309)
2602,1572,02040101000960,2617290,POINT (-75.27907759324403 41.93914640123753)
1503,1463,02040102000347,1752159,POINT (-75.27907759324403 41.93914640123753)
2691,1571,02040101000051,2617286,POINT (-75.2879607937054 41.94232506817763)
3066,1457,02040102000012,1750585,POINT (-74.99321839348192 41.9573872018136)
3063,1452,02040102000043,1750385,POINT (-74.86881232818106 41.96248146820635)
3068,1462,02040102000004,1752137,POINT (-75.18107852651364 41.96543406824289)
3067,1461,02040102000340,1752131,POINT (-75.16417699368147 41.97952500148846)
1007,1635,02040104001310,4147366,POINT (-74.50060019489167 41.98607040179912)
2293,1643,02040104000152,4147948,POINT (-74.50060019489167 41.98607040179912)
1972,1451,02040102000047,1750361,POINT (-74.81091572775267 41.98826966851417)
1887,1460,02040102000006,1752113,POINT (-75.13183312730636 41.99076046785024)
2551,1459,02040102000057,1752109,POINT (-75.13183312730636 41.99076046785024)
3098,1642,02040104001311,4147946,POINT (-74.50242679540042 41.99275226779839)
3097,1634,02040104000154,4146586,POINT (-74.44246719470355 42.00010706797726)
3081,1565,02040101000975,2614210,POINT (-75.3619153934524 42.00408240104924)
3062,1450,02040102000060,1749281,POINT (-75.12789439326475 42.019350068407064)
1710,1564,02040101000169,2614146,POINT (-75.4225817936856 42.05761020187007)
1083,1563,02040101000070,2614144,POINT (-75.4225817936856 42.05761020187007)
3080,1558,02040101000169,2613826,POINT (-75.4235197935352 42.058296401576555)
1067,1562,02040101005432,2614136,POINT (-75.37814959354947 42.06830460181386)
3061,1444,02040102000078,1748727,POINT (-74.99116612757123 42.075454467713755)
1077,1449,02040102003834,1748773,POINT (-74.96755519382332 42.076986001178646)
3079,1566,02040101000072,2614238,POINT (-75.4018197935972 42.07975640105361)
1033,1560,02040101005407,2614120,POINT (-75.32207459342041 42.08849240105621)
1963,1561,02040101005437,2614122,POINT (-75.32207459342041 42.08849240105621)
2113,1447,02040102003843,1748753,POINT (-74.83253112766373 42.09395626803472)
1490,1448,02040102003840,1748759,POINT (-74.83253112766373 42.09395626803472)
3059,1441,02040102000080,1748611,POINT (-74.7431635282239 42.11331506819313)
2271,1446,02040102003846,1748745,POINT (-74.74636679418421 42.114890401392906)
1748,1445,02040102003824,1748743,POINT (-74.74636679418421 42.114890401392906)
2616,1557,02040101000074,2613738,POINT (-75.16944159368681 42.11654420107338)
3060,1440,02040102000204,1748589,POINT (-74.82224759379933 42.1176636679011)
2326,1439,02040102000081,1748587,POINT (-74.72741072727737 42.118660468216895)
3057,1437,02040102000083,1748583,POINT (-74.67355132826101 42.124095001521724)
3058,1443,02040102000098,1748723,POINT (-74.69198959400974 42.12497766810222)
1596,1438,02040102000082,1748585,POINT (-74.69198959400974 42.12497766810222)
3055,1436,02040102000091,1748567,POINT (-74.61165792783089 42.14688906794293)
3056,1442,02040102000084,1748719,POINT (-74.62881112829041 42.15135060106367)
3077,1556,02040101000085,2613578,POINT (-75.14545739441337 42.15432026792343)
3078,1559,02040101000152,2614018,POINT (-75.28653312716402 42.15884026794602)
1693,1555,02040101000088,2613528,POINT (-75.12857979383486 42.166904267543785)
3076,1554,02040101000134,2613498,POINT (-75.12857979383486 42.166904267543785)
1651,1553,02040101000142,2613342,POINT (-75.05104759358358 42.2546424007542)
3075,1552,02040101000746,2613340,POINT (-75.05104759358358 42.2546424007542)
3073,1551,02040101000698,2612942,POINT (-74.77138239485335 42.257983001069256)
1556,1550,02040101000123,2612932,POINT (-74.77138239485335 42.257983001069256)
3072,1547,02040101000124,2612826,POINT (-74.92849692746285 42.25948046817584)
3074,1548,02040101000119,2612842,POINT (-74.92849692746285 42.25948046817584)
3054,1435,02040102000097,1748535,POINT (-74.5931891945398 42.260085667594204)
3071,1546,02040101000125,2612822,POINT (-74.91834279453782 42.27179200083291)
3070,1545,02040101000280,2612794,POINT (-74.67759639415205 42.37131860090526)
3069,1549,02040101000133,2612920,POINT (-74.67759639415205 42.37131860090526)
