,cannonsville_gages,cannonsville_hru,pepacton_gages,pepacton_hru
1981-04-28,81.26523668754821,105.16195918760285,74.63157115100306,141.44082404561703
1981-04-29,151.8982389146717,144.55149035163933,110.733084345787,168.07128701968054
1981-04-30,530.6890441715404,423.8560285038552,437.305955365635,405.8153296188729
1981-05-01,334.7982781044077,543.2466634856798,167.80034546862646,505.2987416707368
1981-05-02,179.23634416587726,258.6117467077634,115.18646866466867,253.2383894290279
1981-05-03,159.0296302356321,201.9052503511783,106.04476468563345,205.02135062641176
1981-05-04,148.0257592181819,186.08257738163616,98.87627200915628,188.32955816750112
1981-05-05,138.58714885676085,174.32555875543713,92.85240278690628,175.52428644621355
1981-05-06,130.27350711157774,164.02165844760458,87.6496842223676,164.68199911991235
1981-05-07,129.40685990561508,157.714703837935,83.82148249913703,156.17413904952227
1981-05-08,120.1174759788506,153.36492489754326,79.2257190645606,148.26212208584818
1981-05-09,110.36578152713756,140.2053307700507,75.38963389461827,140.12324923512406
1981-05-10,104.58719120285468,132.18906246602947,71.98696817409699,133.33394356534856
1981-05-11,115.86858651100093,133.4745857339883,108.95222297923772,152.24614854686658
1981-05-12,969.4537558451489,551.5497684403488,2159.6351450405455,1550.4428963055102
1981-05-13,1056.8862440222856,1193.4361290342372,1223.0725730454,2656.738908868104
1981-05-14,578.9295790662433,840.4604004403703,523.8654260927304,1377.2632640227794
1981-05-15,356.94996176770155,457.5271502752534,364.5810842518009,695.873268773433
1981-05-16,1051.7871080303316,757.3241823861163,1098.5540167045465,1139.7511167993248
1981-05-17,783.7807580372344,1074.0610365850384,518.5109496380508,1360.0446625487648
1981-05-18,454.7164340154061,598.7554775248758,362.61079703612336,709.8599702145417
1981-05-19,374.48474261727205,439.22656762139127,317.3311317110605,544.6241500256789
1981-05-20,333.7292092274768,384.0712081312486,282.936207213137,476.4371658898661
1981-05-21,302.23109220311704,347.3819947706798,255.36717152253678,425.6455499506469
1981-05-22,276.4362063168783,317.85147864208903,232.77083896698235,385.0335433683195
1981-05-23,254.80681086025166,293.20398050152704,213.89890551590682,351.75126104893224
1981-05-24,236.32907648006517,272.20134432989386,197.88025708779472,323.93673519755333
1981-05-25,220.2997518834571,254.0054370829416,184.09089576131706,300.2996397458503
1981-05-26,216.19014747878998,243.2862178179584,173.3341811225754,282.3107558776293
1981-05-27,206.31385504393182,237.14348545022057,164.0504838791075,267.2565506918855
1981-05-28,186.50384405724233,219.69474403879772,153.52216606696078,251.1054135144536
1981-05-29,182.75638078603106,205.70397944829708,149.18641707293756,239.78557792842005
1981-05-30,209.09035497232543,221.6212882954261,142.5117733310746,233.81722567609407
1981-05-31,389.52368402635375,331.89954152862765,187.5913421088485,262.86199821207686
1981-06-01,260.96021269339843,370.3318065303202,142.3327408109888,264.35646795131896
1981-06-02,176.61269072436608,225.1880431207025,130.0139474022842,220.2739795154745
1981-06-03,181.46936141986805,200.49143215496517,124.6626341883024,208.54636941230217
1981-06-04,254.57731334053977,245.49313910666217,131.61396780209776,216.57174035440312
1981-06-05,185.03930105899587,251.03722755596715,117.54571614201757,210.35366220667737
1981-06-06,173.71266823453576,190.09730428939577,112.43826092564848,193.122910732539
1981-06-07,152.43848754220457,186.86869816886096,105.66970986241543,183.7526767897322
1981-06-08,129.75968336287775,157.63713910500238,100.34218259124884,172.7725875545604
1981-06-09,155.80541471414264,159.84153571835583,98.83141587537978,168.8812541545507
1981-06-10,171.9373565617575,182.39909576945703,98.01260128201855,167.10808392545798
1981-06-11,185.30248436467622,197.7655914616272,94.78722127251498,163.18609938877256
1981-06-12,141.68629694787285,186.488655632524,88.04975219265441,155.50810799566304
1981-06-13,223.94795599616486,178.7475868037073,103.3391559121444,161.2062312273805
1981-06-14,524.2790623438981,401.39343963878594,203.97773760848088,257.18946690432125
1981-06-15,442.1944931532076,537.4307976797115,188.32678940732683,320.4307303728955
1981-06-16,316.5594114661648,373.1922242542491,172.38776933838585,285.4216884580049
1981-06-17,300.92741004127913,324.6956368286568,151.95666517845652,264.28331153823643
1981-06-18,214.70932426163412,271.6891902662377,124.17020538357278,230.25944528272723
1981-06-19,171.71947337306005,198.5481619241405,112.89773211539156,198.3470360292356
1981-06-20,160.28632707047734,177.56605846375535,107.38955865224773,185.17716568410597
1981-06-21,228.2738293397857,199.20643157369992,107.77935348677654,181.93950623555688
1981-06-22,343.3906032350125,310.12650461863103,126.52092468510432,206.6526459352288
